FIPS,bachelor_degree_density_2014_2018
1001,27.7
1003,31.3
1005,12.2
1007,11.5
1009,12.6
1011,13.3
1013,16.1
1015,18.0
1017,13.2
1019,12.9
1021,14.2
1023,13.0
1025,12.6
1027,10.2
1029,13.7
1031,23.4
1033,18.7
1035,10.7
1037,11.6
1039,14.9
1041,15.6
1043,13.7
1045,17.0
1047,15.1
1049,12.7
1051,24.5
1053,12.7
1055,17.7
1057,12.9
1059,12.9
1061,11.1
1063,10.1
1065,14.1
1067,18.0
1069,21.0
1071,14.2
1073,32.4
1075,12.5
1077,23.9
1079,11.7
1081,34.1
1083,25.5
1085,14.1
1087,20.7
1089,41.7
1091,15.4
1093,13.1
1095,19.2
1097,22.9
1099,14.1
1101,32.1
1103,21.7
1105,15.7
1107,13.5
1109,23.6
1111,14.9
1113,16.5
1115,16.5
1117,42.1
1119,21.8
1121,14.3
1123,18.3
1125,30.3
1127,11.6
1129,11.1
1131,12.5
1133,13.5
2000,29.2
2010,
2013,12.7
2016,16.4
2020,35.3
2050,12.3
2060,22.3
2068,43.5
2070,19.3
2090,32.6
2100,37.4
2105,23.4
2110,39.5
2122,23.3
2130,24.5
2150,26.0
2158,4.8
2160,
2164,15.8
2170,21.2
2180,14.6
2185,16.6
2188,11.7
2195,27.6
2198,17.6
2201,
2220,32.6
2230,33.7
2231,
2232,
2240,19.1
2250,
2261,30.6
2275,20.7
2280,
2282,20.0
2290,13.4
4000,28.9
4001,11.7
4003,23.0
4005,35.6
4007,18.5
4009,15.3
4011,11.9
4012,12.4
4013,32.0
4015,12.9
4017,15.8
4019,31.9
4021,19.0
4023,21.0
4025,25.2
4027,14.8
5000,22.6
5001,15.5
5003,13.2
5005,18.3
5007,32.4
5009,16.0
5011,15.2
5013,12.1
5015,20.4
5017,14.7
5019,27.6
5021,11.6
5023,14.9
5025,16.2
5027,20.6
5029,16.0
5031,26.3
5033,15.3
5035,18.0
5037,15.4
5039,13.7
5041,12.4
5043,20.6
5045,30.0
5047,11.8
5049,11.8
5051,20.2
5053,18.3
5055,15.9
5057,15.1
5059,14.7
5061,14.7
5063,18.9
5065,13.8
5067,10.2
5069,17.8
5071,15.8
5073,16.5
5075,15.0
5077,8.9
5079,8.9
5081,11.4
5083,12.1
5085,20.3
5087,12.5
5089,17.2
5091,16.6
5093,12.8
5095,10.5
5097,10.8
5099,15.4
5101,16.2
5103,16.0
5105,11.9
5107,14.0
