FIPS,cases,deaths
1001,15891,216.0
1003,56031,681.0
1005,5692,98.0
1007,6469,105.0
1009,15039,243.0
1011,2328,54.0
1013,5073,129.0
1015,32512,628.0
1017,8518,162.0
1019,5137,86.0
1021,11139,207.0
1023,2050,37.0
1025,7156,101.0
1027,4101,82.0
1029,3568,69.0
1031,13683,231.0
1033,16399,262.0
1035,2872,70.0
1037,2980,58.0
1039,9363,232.0
1041,3840,100.0
1043,24697,367.0
1045,12976,231.0
1047,8439,244.0
1049,18813,330.0
1051,23460,347.0
1053,10097,171.0
1055,28801,651.0
1057,4989,96.0
1059,9914,139.0
1061,6499,164.0
1063,1880,49.0
1065,4748,106.0
1067,4591,76.0
1069,25869,506.0
1071,15069,241.0
1073,186629,2374.0
1075,3748,65.0
1077,24236,397.0
1079,7698,160.0
1081,37981,341.0
1083,25182,295.0
1085,2631,77.0
1087,3904,85.0
1089,90833,970.0
1091,5197,108.0
1093,8175,152.0
1095,27471,394.0
1097,113466,1656.0
1099,5276,80.0
1101,55489,951.0
1103,36232,518.0
1105,2098,47.0
1107,5273,102.0
1109,7597,134.0
1111,5084,75.0
1113,10128,94.0
1117,61483,452.0
1115,25443,416.0
1119,2604,52.0
1121,22442,377.0
1123,11468,234.0
1125,56432,787.0
1127,18785,447.0
1129,3741,59.0
1131,2895,46.0
1133,7579,131.0
2013,1102,3.0
2016,1686,1.0
2020,106085,532.0
2050,10401,41.0
2997,875,1.0
2068,444,1.0
2070,1937,12.0
2090,27943,142.0
2100,633,1.0
2110,9154,19.0
2122,18203,102.0
2130,4243,19.0
2150,5017,12.0
2158,4093,14.0
2170,35132,239.0
2180,6250,5.0
2185,4491,13.0
2188,4861,14.0
2195,789,5.0
2198,1461,8.0
2220,2744,5.0
2230,238,1.0
2240,2058,20.0
2261,2960,20.0
2275,587,1.0
2998,586,5.0
2290,1457,10.0
4001,22606,614.0
4003,31675,576.0
4005,44263,478.0
4007,17451,381.0
4009,12072,177.0
4011,2233,33.0
4012,5236,144.0
4013,1288395,17342.0
4015,57772,1458.0
4017,38506,909.0
4019,256778,3854.0
4021,133108,1668.0
4023,16708,232.0
4025,48535,1212.0
4027,62791,1181.0
5001,5704,79.0
5003,5119,66.0
5005,8861,248.0
5007,67281,849.0
5009,9487,180.0
5011,3001,49.0
5013,964,10.0
5015,6144,103.0
5017,2778,60.0
5019,5383,80.0
5021,4165,93.0
5023,6475,128.0
5025,2274,36.0
5027,5447,96.0
5029,5497,65.0
5031,37838,330.0
5033,15903,250.0
5035,14350,227.0
5037,4844,83.0
5039,1765,31.0
5041,3032,41.0
5043,4688,70.0
5045,35349,318.0
5047,3823,73.0
5049,2697,90.0
5051,23401,511.0
5053,4473,61.0
5055,16109,175.0
5057,4574,69.0
5059,11252,136.0
5061,3768,50.0
5063,10655,212.0
5065,3913,70.0
5067,6137,63.0
5069,18634,277.0
5071,6840,87.0
5073,1299,31.0
5075,5344,78.0
5077,2913,59.0
5079,4921,68.0
5081,3283,104.0
5083,5137,79.0
5085,20002,244.0
5087,3979,62.0
5089,3412,88.0
5091,9603,181.0
5093,13625,210.0
5095,1937,36.0
5097,1530,57.0
5099,2190,46.0
5101,1722,47.0
5103,5493,104.0
5105,2528,37.0
5107,4835,99.0
5109,2619,44.0
5111,8072,127.0
5113,4147,148.0
5115,18475,210.0
5117,1965,42.0
5119,104405,1184.0
5121,5228,89.0
5125,31101,343.0
5127,2302,44.0
5129,2130,48.0
5131,32880,524.0
5133,5954,75.0
5135,4645,105.0
5123,7193,96.0
5137,2928,68.0
5139,9280,176.0
5141,3495,62.0
5143,69047,622.0
5145,22219,292.0
5147,1733,31.0
5149,6861,106.0
6001,290619,1872.0
6003,127,0.0
6005,9302,86.0
6007,40502,426.0
6009,7812,120.0
6011,4556,21.0
6013,214192,1305.0
6015,6513,50.0
6017,30856,213.0
6019,259176,2760.0
6021,6657,67.0
6023,21382,146.0
6025,67092,922.0
6027,4687,56.0
6029,245450,2435.0
6031,55703,447.0
6033,11792,137.0
6035,10777,69.0
6037,2930654,32074.0
6039,44023,370.0
6041,39916,293.0
6043,3204,35.0
6045,16814,124.0
6047,72017,823.0
6049,1005,8.0
6051,3168,6.0
6053,96193,744.0
6055,28131,143.0
6057,17692,127.0
6059,606842,7028.0
