FIPS,medianHouseHoldIncome,povertyRate
1001,58343.0,13.4
1003,56607.0,10.1
1005,32490.0,33.4
1007,45795.0,20.2
1009,48253.0,12.8
1011,29113.0,34.4
1013,36842.0,21.3
1015,45937.0,17.7
1017,36883.0,18.2
1019,44842.0,17.2
1021,46405.0,16.8
1023,36711.0,23.7
1025,36719.0,23.3
1027,39642.0,18.1
1029,45480.0,16.1
1031,51998.0,15.5
1033,46100.0,15.4
1035,30796.0,23.7
1037,42442.0,17.4
1039,39093.0,17.7
1041,38419.0,19.9
1043,45925.0,13.8
1045,42572.0,17.7
1047,31329.0,27.9
1049,39906.0,19.5
1051,59652.0,12.0
1053,37870.0,23.3
1055,41791.0,18.1
1057,39394.0,19.4
1059,41025.0,20.5
1061,38561.0,21.7
1063,28108.0,33.2
1065,34905.0,25.1
1067,48094.0,17.0
1069,44753.0,16.6
1071,42658.0,16.6
1073,50731.0,16.7
1075,39796.0,18.7
1077,46646.0,13.7
1079,42912.0,16.8
1081,51372.0,17.8
1083,57342.0,11.9
1085,33130.0,25.9
1087,30849.0,30.6
1089,62750.0,12.8
1091,37469.0,22.8
1093,38049.0,19.3
1095,42751.0,20.1
1097,45615.0,19.7
1099,36432.0,23.8
1101,45833.0,21.3
1103,49274.0,14.8
1105,26703.0,37.2
1107,38379.0,22.3
1109,40680.0,27.7
1111,41112.0,17.0
1113,36186.0,23.2
1115,52755.0,13.5
1117,74098.0,7.4
1119,26495.0,35.9
1121,41733.0,18.3
1123,44469.0,18.3
1125,51644.0,15.9
1127,41925.0,17.4
1129,44249.0,20.2
1131,25700.0,32.0
1133,38562.0,21.3
2000,74058.0,11.0
2010,,
2013,69375.0,14.6
2016,80290.0,8.1
2020,78579.0,9.6
2050,45582.0,28.7
2060,70094.0,10.9
2068,73220.0,8.0
2070,52641.0,20.8
2090,74241.0,7.4
2100,53413.0,11.4
2105,50573.0,17.6
2110,90436.0,8.3
2122,63559.0,10.2
2130,71298.0,9.9
2150,71118.0,7.5
2158,31250.0,37.5
2164,47644.0,15.7
2170,72296.0,11.3
2180,53877.0,23.2
2185,82736.0,12.2
2188,53060.0,26.0
2195,59176.0,7.4
2198,46488.0,18.5
2201,,
2220,69501.0,8.1
2230,66991.0,4.3
2232,,
2240,59382.0,12.8
2261,86196.0,9.2
2275,55696.0,12.4
2280,,
2282,59955.0,15.3
2290,37907.0,23.2
4000,56508.0,14.9
4001,33053.0,33.1
4003,48966.0,16.1
4005,54399.0,18.4
4007,38897.0,24.1
4009,46378.0,20.9
4011,63557.0,10.1
4012,36389.0,20.9
4013,62221.0,13.5
4015,42210.0,17.3
4017,40883.0,26.4
4019,51392.0,16.6
4021,53114.0,13.0
4023,39265.0,23.6
4025,49860.0,13.9
4027,46013.0,19.0
5000,45916.0,16.3
5001,43752.0,19.9
5003,40495.0,19.8
5005,43011.0,13.9
5007,64728.0,9.1
5009,41770.0,14.9
5011,35950.0,20.9
5013,42484.0,15.2
5015,38297.0,16.4
5017,31810.0,30.1
5019,40536.0,21.4
5021,35164.0,18.1
5023,43170.0,15.6
5025,47812.0,14.3
5027,38488.0,25.5
5029,43519.0,17.2
5031,49355.0,14.9
5033,44850.0,17.5
5035,39272.0,21.1
5037,41661.0,18.4
5039,33739.0,21.0
5041,33228.0,29.0
5043,41339.0,20.3
5045,51535.0,13.4
5047,41140.0,18.0
5049,35723.0,20.6
5051,44662.0,15.9
5053,54819.0,12.2
5055,46029.0,14.8
5057,39505.0,24.2
5059,42329.0,16.8
5061,36744.0,19.1
5063,42332.0,15.9
5065,37958.0,19.3
5067,36235.0,22.2
5069,38677.0,23.5
5071,39798.0,18.4
5073,33378.0,24.1
5075,40777.0,16.9
5077,28875.0,37.3
5079,43821.0,23.4
5081,42063.0,17.0
5083,37676.0,20.5
5085,54378.0,11.1
5087,40568.0,17.0
5089,39539.0,18.3
5091,44325.0,18.8
5093,39678.0,24.3
5095,32427.0,27.3
5097,35500.0,21.1
5099,46687.0,19.5
5101,34036.0,19.8
5103,39576.0,19.9
5105,44118.0,15.1
5107,27663.0,39.8
5109,37493.0,18.5
5111,39778.0,21.0
5113,35678.0,23.3
5115,45803.0,16.7
5117,43139.0,16.1
5119,52361.0,15.0
5121,35989.0,19.4
5123,31561.0,33.7
5125,61384.0,7.9
5127,33354.0,20.6
5129,30640.0,21.6
5131,44058.0,18.6
5133,41649.0,19.5
5135,34266.0,23.9
5137,32778.0,21.2
5139,43827.0,17.5
5141,36244.0,19.8
5143,50400.0,13.8
5145,44088.0,15.2
5147,32271.0,26.8
5149,40325.0,18.8
6000,71785.0,13.3
6001,95550.0,9.3
6003,55755.0,18.1
6005,60588.0,10.9
6007,48634.0,18.1
6009,58536.0,13.1
6011,53595.0,12.2
6013,95062.0,9.1
6015,39996.0,24.6
6017,78464.0,8.3
6019,51452.0,21.1
6021,49979.0,14.8
6023,46123.0,19.7
6025,43413.0,20.7
6027,53528.0,11.8
6029,49904.0,21.2
6031,55076.0,18.4
6033,45797.0,20.2
6035,58776.0,16.3
6037,64912.0,14.9
6039,50783.0,21.2
6041,112735.0,7.9
6043,52387.0,15.2
6045,50453.0,16.3
6047,48036.0,23.0
6049,40970.0,19.2
6051,60318.0,9.3
6053,70294.0,11.9
6055,83881.0,6.8
6057,64901.0,11.0
6059,86031.0,11.5
6061,81366.0,7.8
6063,51756.0,14.3
6065,63776.0,12.9
6067,62959.0,14.1
6069,77200.0,8.4
6071,60270.0,16.0
6073,76048.0,11.9
6075,109601.0,10.1
6077,60950.0,15.5
6079,70634.0,11.9
6081,115908.0,6.4
6083,70651.0,14.2
6085,118468.0,7.5
6087,76633.0,12.6
6089,51207.0,17.0
6091,49495.0,13.7
6093,44013.0,17.7
6095,75931.0,10.0
6097,79511.0,9.3
6099,58925.0,14.0
6101,54102.0,13.2
6103,41819.0,20.1
6105,40676.0,20.3
6107,46377.0,24.0
6109,58776.0,12.2
6111,82436.0,9.5
6113,64900.0,17.5
6115,53822.0,15.3
8000,69113.0,10.3
8001,65977.0,10.6
8003,43121.0,21.3
8005,75196.0,7.8
8007,52481.0,11.7
8009,35725.0,19.7
8011,37307.0,32.0
8013,80701.0,12.6
8014,91968.0,4.6
8015,53545.0,11.4
8017,50571.0,13.6
8019,71850.0,7.8
8021,36852.0,21.2
8023,30486.0,27.3
8025,38112.0,47.4
8027,54080.0,13.2
8029,43528.0,16.7
8031,64974.0,12.5
8033,44882.0,12.8
8035,112386.0,3.2
8037,88913.0,7.5
8039,102731.0,4.9
8041,65260.0,10.8
8043,48820.0,16.6
8045,71897.0,7.6
8047,79636.0,6.9
8049,61241.0,8.7
8051,53480.0,14.8
8053,59157.0,8.6
8055,37424.0,20.8
8057,48785.0,13.7
8059,80562.0,7.6
8061,43845.0,14.0
8063,44028.0,11.6
8065,49799.0,12.2
8067,61974.0,9.2
8069,69443.0,11.0
8071,39552.0,23.7
8073,45308.0,17.6
8075,50246.0,15.8
8077,52623.0,14.9
8079,55906.0,8.5
8081,57680.0,11.0
8083,48692.0,15.2
8085,51031.0,12.9
8087,50453.0,11.4
8089,37907.0,23.5
8091,63627.0,7.7
8093,69884.0,8.6
8095,52096.0,10.9
8097,78596.0,5.9
8099,41238.0,18.2
8101,44060.0,18.2
8103,58336.0,9.5
8105,41693.0,18.4
8107,76505.0,6.9
8109,36558.0,24.4
8111,46985.0,13.6
8113,70418.0,7.7
8115,39880.0,15.5
8117,75420.0,7.3
8119,68078.0,8.8
8121,48325.0,12.9
8123,68679.0,9.4
8125,48893.0,13.0
9000,74428.0,9.7
9001,91170.0,8.8
9003,70433.0,11.0
9005,77968.0,6.9
9007,81533.0,6.8
9009,66764.0,11.0
9011,71721.0,8.6
9013,75571.0,7.4
9015,62606.0,11.5
10000,64085.0,13.0
10001,57112.0,13.2
10003,66839.0,13.4
10005,61124.0,11.9
11000,80153.0,16.6
11001,80153.0,16.6
12000,52582.0,14.1
12001,45230.0,21.2
12003,51856.0,15.3
12005,51633.0,14.9
12007,44997.0,19.1
12009,52596.0,12.4
12011,56702.0,13.1
12013,37612.0,21.1
12015,51583.0,10.8
12017,43147.0,14.4
12019,65375.0,9.9
12021,66709.0,11.7
12023,42097.0,16.5
12027,37342.0,26.1
12029,38355.0,24.4
12031,52105.0,15.1
12033,48289.0,16.4
12035,52713.0,12.0
12037,40158.0,21.3
12039,38084.0,23.1
12041,42880.0,16.1
12043,42865.0,18.9
12045,44135.0,21.6
12047,35262.0,24.0
12049,40056.0,23.3
12051,38361.0,23.9
12053,44710.0,14.0
12055,37445.0,19.8
12057,54741.0,15.5
12059,40657.0,21.2
12061,51797.0,10.6
12063,41524.0,18.0
12065,48163.0,17.7
12067,41549.0,22.7
12069,51429.0,12.6
12071,54198.0,11.8
12073,51716.0,18.0
12075,37272.0,20.8
12077,41308.0,23.0
12079,37256.0,28.3
12081,55189.0,10.8
12083,43772.0,16.2
12085,58344.0,10.9
12086,49758.0,16.7
12087,63009.0,11.8
12089,70590.0,9.1
12091,60798.0,10.9
12093,42524.0,21.8
12095,54021.0,15.3
12097,49284.0,14.0
12099,60059.0,11.8
12101,51247.0,13.0
12103,51488.0,12.2
12105,48328.0,16.1
12107,34390.0,26.3
12109,77022.0,8.3
12111,49995.0,12.8
12113,65434.0,10.2
12115,58423.0,9.2
12117,63865.0,11.2
12119,57931.0,9.1
12121,44144.0,20.3
12123,41557.0,23.8
12125,47373.0,22.2
12127,46911.0,15.2
12129,55717.0,12.9
12131,52922.0,15.9
12133,36052.0,21.1
13000,56117.0,15.1
13001,40862.0,22.2
13003,34821.0,24.2
13005,38417.0,28.2
13007,37286.0,24.6
13009,40358.0,25.2
13011,49481.0,13.5
13013,60028.0,12.0
13015,55067.0,13.2
13017,32370.0,24.5
13019,38239.0,18.6
13021,39047.0,25.0
13023,44262.0,20.3
13025,40906.0,19.0
13027,36030.0,23.7
13029,73877.0,10.4
13031,42068.0,24.6
13033,41863.0,23.1
13035,46062.0,18.3
13037,33889.0,35.1
13039,53582.0,12.5
13043,33846.0,24.7
13045,51388.0,17.2
13047,53833.0,12.0
13049,40636.0,25.6
13051,54667.0,16.3
13053,44439.0,19.6
13055,39325.0,20.2
13057,78247.0,7.5
13059,39901.0,26.6
13061,29122.0,33.1
13063,44757.0,16.3
13065,37174.0,27.6
13067,75485.0,9.5
13069,39408.0,24.9
13071,36651.0,25.6
13073,75832.0,6.6
13075,36463.0,21.3
13077,73296.0,10.4
13079,47422.0,17.6
13081,34754.0,29.7
13083,45053.0,15.2
13085,64930.0,9.4
13087,37835.0,21.9
13089,61496.0,15.3
13091,36067.0,21.8
13093,35781.0,27.6
13095,36994.0,28.2
13097,60177.0,11.8
13099,32490.0,26.7
13101,36559.0,26.5
13103,68109.0,9.8
13105,35452.0,22.9
13107,33551.0,27.6
13109,34464.0,28.0
13111,42986.0,13.6
13113,87831.0,5.7
13115,45979.0,19.2
13117,103083.0,5.3
13119,42703.0,18.7
13121,64901.0,14.8
13123,46200.0,14.4
13125,43529.0,17.3
13127,50740.0,17.0
13129,46868.0,14.0
13131,41095.0,20.3
13133,50736.0,17.0
13135,68957.0,10.7
13137,49292.0,13.3
13139,61320.0,13.3
13141,31247.0,30.3
13143,45167.0,15.3
13145,72811.0,8.3
13147,44603.0,18.9
13149,44575.0,18.9
13151,67493.0,9.8
13153,59291.0,13.0
13155,38511.0,22.0
13157,63422.0,11.5
13159,50234.0,17.6
13161,36786.0,21.2
13163,35201.0,24.0
13165,32472.0,32.8
13167,35243.0,29.0
13169,56039.0,12.9
13171,41060.0,16.5
13173,39165.0,20.5
13175,38078.0,22.6
13177,68891.0,10.9
13179,45655.0,16.8
13181,44819.0,18.1
13183,48328.0,19.1
13185,42019.0,25.3
13187,55453.0,13.9
13189,40814.0,21.2
13191,40832.0,19.5
13193,32974.0,29.6
13195,47956.0,15.9
13197,39408.0,23.9
13199,38442.0,19.9
13201,37878.0,23.8
13205,36234.0,27.5
13207,57038.0,13.3
13209,41858.0,20.5
13211,55251.0,12.0
13213,45975.0,17.2
13215,42610.0,22.6
13217,55632.0,13.4
13219,92216.0,6.5
13221,44718.0,13.4
13223,67906.0,8.3
13225,46608.0,19.6
13227,61145.0,10.8
13229,42140.0,19.4
13231,62250.0,10.7
13233,43488.0,19.0
13235,39743.0,22.5
13237,47710.0,17.2
13239,31151.0,26.1
13241,43042.0,17.8
13243,30847.0,33.6
