date,county,state,fips,cases,deaths
5/20/2022,Autauga,Alabama,1001,15891,216
5/20/2022,Baldwin,Alabama,1003,56031,681
5/20/2022,Barbour,Alabama,1005,5692,98
5/20/2022,Bibb,Alabama,1007,6469,105
5/20/2022,Blount,Alabama,1009,15039,243
5/20/2022,Bullock,Alabama,1011,2328,54
5/20/2022,Butler,Alabama,1013,5073,129
5/20/2022,Calhoun,Alabama,1015,32512,628
5/20/2022,Chambers,Alabama,1017,8518,162
5/20/2022,Cherokee,Alabama,1019,5137,86
5/20/2022,Chilton,Alabama,1021,11139,207
5/20/2022,Choctaw,Alabama,1023,2050,37
5/20/2022,Clarke,Alabama,1025,7156,101
5/20/2022,Clay,Alabama,1027,4101,82
5/20/2022,Cleburne,Alabama,1029,3568,69
5/20/2022,Coffee,Alabama,1031,13683,231
5/20/2022,Colbert,Alabama,1033,16399,262
5/20/2022,Conecuh,Alabama,1035,2872,70
5/20/2022,Coosa,Alabama,1037,2980,58
5/20/2022,Covington,Alabama,1039,9363,232
5/20/2022,Crenshaw,Alabama,1041,3840,100
5/20/2022,Cullman,Alabama,1043,24697,367
5/20/2022,Dale,Alabama,1045,12976,231
5/20/2022,Dallas,Alabama,1047,8439,244
5/20/2022,DeKalb,Alabama,1049,18813,330
5/20/2022,Elmore,Alabama,1051,23460,347
5/20/2022,Escambia,Alabama,1053,10097,171
5/20/2022,Etowah,Alabama,1055,28801,651
5/20/2022,Fayette,Alabama,1057,4989,96
5/20/2022,Franklin,Alabama,1059,9914,139
5/20/2022,Geneva,Alabama,1061,6499,164
5/20/2022,Greene,Alabama,1063,1880,49
5/20/2022,Hale,Alabama,1065,4748,106
5/20/2022,Henry,Alabama,1067,4591,76
5/20/2022,Houston,Alabama,1069,25869,506
5/20/2022,Jackson,Alabama,1071,15069,241
5/20/2022,Jefferson,Alabama,1073,186629,2374
5/20/2022,Lamar,Alabama,1075,3748,65
5/20/2022,Lauderdale,Alabama,1077,24236,397
5/20/2022,Lawrence,Alabama,1079,7698,160
5/20/2022,Lee,Alabama,1081,37981,341
5/20/2022,Limestone,Alabama,1083,25182,295
5/20/2022,Lowndes,Alabama,1085,2631,77
