I,t1,t2
0.443242198,0.21,40000
0.435457249,0.21,40913.568
0.434414557,0.21,40805.528
0.44302274,0.217695184,41038.024
0.442057337,0.217695184,40929.984
0.31769726,0.217695184,47292.128
0.156382789,0.217695184,55697.488
0.014446904,0.21,74318.928
0.014446904,0.21,74551.424
0.003252684,0.21,85340.536
0.002244302,0.21,89659.464
0.41972065,0.222457225,40000
0.412969016,0.222457225,40913.568
0.3072275,0.222457225,47275.712
0.412995694,0.222457225,41038.024
0.15901414,0.222457225,55573.032
0.306340584,0.222457225,47292.128
0.412767775,0.222457225,41054.44
0.014645636,0.230152408,74318.928
0.014645636,0.230152408,74551.424
0.004072397,0.249390367,87043.216
0.274036938,0.387903672,89659.464
0.437601591,0.219524082,40000
0.430050068,0.219524082,40913.568
0.311771526,0.219524082,47275.712
0.430122258,0.219524082,41038.024
0.113337059,0.258,55913.568
0.112508004,0.258,55805.528
0.429921588,0.219524082,41054.44
0.017012459,0.258,75000
0.044461488,0.323409061,83064.824
0.257493411,0.388818121,88064.824
0.295199704,0.388818121,90000
0.43571427,0.220438531,40000
0.42812768,0.220438531,40913.568
0.42680257,0.220438531,40805.528
0.119601739,0.255066857,55681.072
0.119180041,0.255066857,55913.568
0.062662896,0.289695184,61935.176
0.04293103,0.297390367,68637.856
0.016682227,0.285847592,75000
0.04013095,0.320475918,82724.288
0.257493411,0.385884979,88064.824
0.295199704,0.385884979,90000
0.429235594,0.22135298,40000
0.421840257,0.22135298,40913.568
0.420237569,0.22135298,40805.528
0.116905952,0.255981307,55681.072
0.047014955,0.306,60000
0.060027703,0.290609633,61935.176
0.045244603,0.306,68637.856
0.181974154,0.386799428,85216.08
0.046464536,0.325237959,82724.288
0.257493411,0.386799428,88064.824
0.295199704,0.386799428,90000
0.427184413,0.22226743,40000
0.419748033,0.22226743,40913.568
0.305138421,0.22226743,47275.712
0.099632798,0.276133715,57043.216
0.099912204,0.276133715,57275.712
0.020802843,0.326152408,64659.464
0.032984923,0.326152408,70000
0.181974154,0.387713877,85216.08
0.152593228,0.387713877,83405.36
0.257493411,0.387713877,88064.824
0.295199704,0.387713877,90000
0.439044462,0.219334287,40000
0.431513129,0.219334287,40913.568
0.430172058,0.219334287,40805.528
0.113796639,0.257810205,55681.072
0.015284109,0.354,62383.752
0.016837981,0.357847592,65000
0.181974154,0.388628326,85324.12
0.181974154,0.388628326,85216.08
0.152593228,0.388628326,83405.36
0.257493411,0.388628326,88064.824
0.295199704,0.388628326,90000
0.427905116,0.220248736,41021.608
0.428065009,0.220248736,40913.568
0.311450363,0.220248736,47275.712
0.428131917,0.220248736,41038.024
0.01565787,0.362609633,62383.752
0.017292538,0.366457225,65000
0.181974154,0.385695184,85324.12
0.181974154,0.385695184,85216.08
0.152593228,0.385695184,83405.36
0.257493411,0.385695184,88064.824
0.295199704,0.385695184,90000
0.001932511,0.402,46129.648
0.01354416,0.402,64070.016
0.013804041,0.402,64302.512
0.01354416,0.402,64194.472
0.01354416,0.402,64086.432
0.014527512,0.402,65000
0.181974154,0.402,85324.12
0.181974154,0.402,85216.08
0.152593228,0.402,83405.36
0.257493411,0.402,88064.824
0.295199704,0.402,90000
0.001932511,0.426,46129.648
0.01354416,0.426,64070.016
0.013804041,0.426,64302.512
0.01354416,0.426,64194.472
0.01354416,0.426,64086.432
0.014527512,0.426,65000
0.181974154,0.426,85324.12
0.181974154,0.426,85216.08
0.152593228,0.426,83405.36
0.257493411,0.426,88064.824
0.295199704,0.426,90000
