pattern,Max Agreement,Max Expected Agreement,Lift,Max Lift,AUC,Expected AUC
PctEmpMining_household_density_on_land_2010,0.09,0.090608792,0.99,1.64,0,0.01
PctEmpMining_population_density_on_land_2010,0.09,0.098061702,0.92,1.85,0,0.01
PctEmpMining_PctEmpManufacturing,0.08,0.096566908,0.83,1.46,0,0.01
avg_precipitation_for_county_PctEmpMining,0.07,0.041110776,1.7,2,0.01,0.01
PctEmpMining_PctEmpServices,0.12,0.097475105,1.23,11.33,0.01,0.01
PctEmpAgriculture_population_density_on_land_2010,0.21,0.24228629,0.87,2.22,0.01,0.02
PctEmpAgriculture_household_density_on_land_2010,0.21,0.242311296,0.87,1.29,0.01,0.02
povertyRate_medianHouseHoldIncome,0.2,0.269704114,0.74,0.72,0.01,0.03
PctEmpMining_PctEmpAgriculture,0.19,0.095281046,1.99,22.44,0.02,0.01
PctEmpMining_povertyRate,0.18,0.105947703,1.7,17.03,0.02,0.01
PctEmpMining_bachelor_degree_density_2014_2018,0.16,0.10166497,1.57,4.23,0.02,0.01
PctEmpInformation_PctEmpMining,0.13,0.085986635,1.51,10.01,0.02,0.01
PctEmpAgriculture_PctEmpManufacturing,0.3,0.238593022,1.26,3.07,0.02,0.02
PctEmpFIRE_PctEmpMining,0.14,0.118428667,1.18,3.42,0.02,0.01
PctEmpGovt_household_density_on_land_2010,0.29,0.267369769,1.08,19.33,0.02,0.02
avg_precipitation_for_county_PctEmpAgriculture,0.21,0.200718956,1.05,1.39,0.02,0.03
PctEmpGovt_population_density_on_land_2010,0.27,0.267342177,1.01,20.58,0.02,0.02
PctEmpGovt_PctEmpManufacturing,0.26,0.263266972,0.99,1.87,0.02,0.02
PctEmpAgriculture_PctEmpServices,0.23,0.240836952,0.96,1.38,0.02,0.02
povertyRate_bachelor_degree_density_2014_2018,0.25,0.279309545,0.9,5.32,0.02,0.02
bachelor_degree_density_2014_2018_covid_death_density,0.23,0.258692204,0.89,2.09,0.02,0.03
avg_temp_for_county_PctEmpAgriculture,0.21,0.240119142,0.87,6.12,0.02,0.03
UnempRate2018_PctEmpMining,0.15,0.07335633,2.04,5.31,0.03,0.01
povertyRate_population_density_on_land_2010,0.4,0.269410097,1.48,2.91,0.03,0.02
povertyRate_household_density_on_land_2010,0.4,0.269437903,1.48,2.46,0.03,0.02
PctEmpServices_PctEmpManufacturing,0.35,0.244087159,1.43,1.48,0.03,0.03
PctEmpManufacturing_bachelor_degree_density_2014_2018,0.34,0.25457899,1.34,3.88,0.03,0.02
PctEmpGovt_bachelor_degree_density_2014_2018,0.37,0.277165639,1.33,68.43,0.03,0.02
PctEmpInformation_povertyRate,0.29,0.236235625,1.23,189.02,0.03,0.02
PctEmpTrade_PctEmpMining,0.12,0.099170741,1.21,15.42,0.03,0.01
avg_precipitation_for_county_PctEmpGovt,0.23,0.221476183,1.04,2.11,0.03,0.03
medianHouseHoldIncome_covid_death_density,0.22,0.249795801,0.88,1.13,0.03,0.04
PctEmpMining_covid_cases_density,0.17,0.094436815,1.8,40.83,0.04,0.01
PctEmpAgriculture_bachelor_degree_density_2014_2018,0.43,0.251189076,1.71,9.48,0.04,0.02
PctEmpInformation_PctEmpManufacturing,0.35,0.215318911,1.63,10.34,0.04,0.02
covid_death_density_population_density_on_land_2010,0.39,0.249523488,1.56,2.53,0.04,0.02
covid_death_density_household_density_on_land_2010,0.37,0.249549241,1.48,2.5,0.04,0.03
PctEmpAgriculture_medianHouseHoldIncome,0.35,0.242550706,1.44,10.2,0.04,0.03
PctEmpTrans_PctEmpManufacturing,0.42,0.294876336,1.42,3.11,0.04,0.03
PctEmpInformation_PctEmpGovt,0.33,0.234422343,1.41,203.94,0.04,0.02
PctEmpManufacturing_povertyRate,0.37,0.26530337,1.39,54.62,0.04,0.02
PctEmpTrans_population_density_on_land_2010,0.41,0.299440833,1.37,29.72,0.04,0.02
PctEmpTrans_household_density_on_land_2010,0.4,0.299471739,1.34,18.89,0.04,0.02
PctEmpInformation_PctEmpAgriculture,0.28,0.212451775,1.32,172.91,0.04,0.02
PctEmpTrans_bachelor_degree_density_2014_2018,0.39,0.310443758,1.26,13.05,0.04,0.02
PctEmpTrade_PctEmpGovt,0.33,0.270365711,1.22,69.17,0.04,0.02
PctEmpFIRE_PctEmpGovt,0.39,0.322867917,1.21,32.8,0.04,0.03
UnempRate2018_bachelor_degree_density_2014_2018,0.23,0.193389027,1.19,5.44,0.04,0.03
PctEmpConstruction_population_density_on_land_2010,0.43,0.360506425,1.19,3.16,0.04,0.03
UnempRate2018_medianHouseHoldIncome,0.19,0.162591553,1.17,3.61,0.04,0.04
