pattern,max_agreement,max_agreement_expected,threhsold1_max_agreement,threhsold2_max_agreement,max_difference,max_difference_agreemnt,max_difference_expected,threhsold1_max_diffrence,threhsold2_max_diffrence,min_difference,min_difference_agreemnt,min_difference_expected,threhsold1_min_diffrence,threhsold2_min_diffrence,max_lift
population_density_on_land_2010_household_density_on_land_2010,1,0.000840542,267,111,0.999159458,1,0.000840542,267,111,0.016415585,0.022899364,0.00648378,414.4,4.3,3784.969399
avg_precipitation_for_county_household_density_on_land_2010,0.720248755,0.206598005,3,4.3,0.519618031,0.710003947,0.190385916,3,6.6,0.000899544,0.002317192,0.001417649,5,138,9.066641505
avg_precipitation_for_county_population_density_on_land_2010,0.712249491,0.206576684,3,10.1,0.505672807,0.712249491,0.206576684,3,10.1,0.000874127,0.003432815,0.002558687,5,201,9.194705401
PctEmpManufacturing_population_density_on_land_2010,0.638424961,0.245556057,6,10.1,0.412561083,0.637969032,0.225407949,7,10.1,-0.000681985,0,0.000681985,19,345,21.5556923
PctEmpManufacturing_household_density_on_land_2010,0.638276769,0.245581401,6,4.3,0.407233224,0.615509659,0.208276436,7,6.1,-0.000630179,0,0.000630179,19,150,20.55409216
avg_precipitation_for_county_PctEmpManufacturing,0.628366573,0.186736312,3,7,0.441630261,0.628366573,0.186736312,3,7,0.012328779,0.014615338,0.002286559,4,24,48.8420375
PctEmpFIRE_PctEmpConstruction,0.571519763,0.435381951,3,5,0.152111908,0.283863102,0.131751194,4,6,-0.000184841,0,0.000184841,7,11,21.72111083
PctEmpTrade_household_density_on_land_2010,0.560820984,0.252203265,12,4.3,0.312306329,0.539402627,0.227096298,12,5.1,-0.000223288,0,0.000223288,17,121,35.48859871
povertyRate_covid_death_density,0.554722855,0.269589857,12,0.002874389,0.33130508,0.448607121,0.117302042,15,0.003337062,0.009932728,0.013884106,0.003951379,31,0.002874389,1197.474528
PctEmpTrans_PctEmpConstruction,0.545492985,0.432914646,4,5,0.132428847,0.203438856,0.071010008,5,7,-0.000183198,0,0.000183198,9,11,154.8270521
bachelor_degree_density_2014_2018_medianHouseHoldIncome,0.540590209,0.258801842,16,44500,0.299813891,0.519758805,0.219944914,16,46681,0.009036092,0.014265421,0.005229329,39,44774,873.8254268
avg_temp_for_county_covid_death_density,0.53852364,0.247291606,50,0.002874389,0.291809913,0.515340944,0.223531032,50,0.003077627,-0.000688274,0,0.000688274,68,0.006880734,42.94592981
UnempRate2018_povertyRate,0.536415183,0.171133792,4,13,0.36774109,0.511620622,0.143879532,4,14,0.017753364,0.020707273,0.002953909,4,31,182.1995964
PctEmpTrade_population_density_on_land_2010,0.535189648,0.252177238,12,10.1,0.314563383,0.53341822,0.218854837,12,12.5,-0.000195496,0,0.000195496,17,345,34.9004104
avg_temp_for_county_povertyRate,0.518783608,0.267000339,50,12,0.295203974,0.407549931,0.112345957,55,15,-0.000376501,0,0.000376501,68,31,269.7156455
avg_temp_for_county_population_density_on_land_2010,0.514726383,0.247126715,50,10.1,0.285129569,0.467115599,0.18198603,52,16.2,0.002741542,0.003919264,0.001177722,66,414.4,148.5134732
