pattern,Agreement,Expected Agreement,threhsold1_imp_agreement,threhsold2_imp_agreement,pattern_lift
"{(population_density_on_land_2010 414.4),(household_density_on_land_2010 178.0)}",0.76,0.000200267,414.4,178,3784.969399
"{(population_density_on_land_2010 414.4),(household_density_on_land_2010 170.0)}",0.75,0.000202623,414.4,170,3699.405723
"{(population_density_on_land_2010 414.4),(household_density_on_land_2010 176.0)}",0.75,0.000202623,414.4,176,3699.405723
"{(population_density_on_land_2010 414.4),(household_density_on_land_2010 167.0)}",0.76,0.000209656,414.4,167,3643.642304
"{(population_density_on_land_2010 393.0),(household_density_on_land_2010 170.0)}",0.92,0.000257444,393,170,3586.551362
"{(population_density_on_land_2010 393.0),(household_density_on_land_2010 176.0)}",0.92,0.000257444,393,176,3586.551362
"{(population_density_on_land_2010 393.0),(household_density_on_land_2010 178.0)}",0.91,0.00025445,393,178,3586.016081
"{(population_density_on_land_2010 409.0),(household_density_on_land_2010 170.0)}",0.91,0.000254786,409,170,3583.919023
"{(population_density_on_land_2010 409.0),(household_density_on_land_2010 176.0)}",0.91,0.000254786,409,176,3583.919023
"{(population_density_on_land_2010 409.0),(household_density_on_land_2010 178.0)}",0.9,0.000251823,409,178,3582.9069
"{(population_density_on_land_2010 393.0),(household_density_on_land_2010 167.0)}",0.94,0.00026638,393,167,3512.161833
"{(population_density_on_land_2010 409.0),(household_density_on_land_2010 167.0)}",0.93,0.000263629,409,167,3510.497185
"{(population_density_on_land_2010 386.0),(household_density_on_land_2010 170.0)}",0.9,0.00026304,386,170,3436.432114
"{(population_density_on_land_2010 386.0),(household_density_on_land_2010 176.0)}",0.9,0.00026304,386,176,3436.432114
"{(population_density_on_land_2010 386.0),(household_density_on_land_2010 178.0)}",0.89,0.000259981,386,178,3435.919238
"{(population_density_on_land_2010 386.0),(household_density_on_land_2010 158.0)}",0.97,0.000287064,386,158,3369.98179
"{(population_density_on_land_2010 386.0),(household_density_on_land_2010 162.0)}",0.97,0.000287064,386,162,3369.98179
"{(population_density_on_land_2010 386.0),(household_density_on_land_2010 164.0)}",0.97,0.000287064,386,164,3369.98179
"{(population_density_on_land_2010 393.0),(household_density_on_land_2010 158.0)}",0.95,0.000280957,393,158,3369.13937
"{(population_density_on_land_2010 393.0),(household_density_on_land_2010 162.0)}",0.95,0.000280957,393,162,3369.13937
"{(population_density_on_land_2010 393.0),(household_density_on_land_2010 164.0)}",0.95,0.000280957,393,164,3369.13937
"{(population_density_on_land_2010 409.0),(household_density_on_land_2010 158.0)}",0.94,0.000278056,409,158,3368.726203
"{(population_density_on_land_2010 409.0),(household_density_on_land_2010 162.0)}",0.94,0.000278056,409,162,3368.726203
"{(population_density_on_land_2010 409.0),(household_density_on_land_2010 164.0)}",0.94,0.000278056,409,164,3368.726203
"{(population_density_on_land_2010 386.0),(household_density_on_land_2010 167.0)}",0.92,0.00027217,386,167,3365.888134
"{(population_density_on_land_2010 414.4),(household_density_on_land_2010 158.0)}",0.74,0.000221129,414.4,158,3358.425653
