pattern,Agreement,Expected Agreement,threhsold1_imp_agreement,threhsold2_imp_agreement,pattern_lift
"{(population_density_on_land_2010 22.0),(household_density_on_land_2010 10.0)}",0.93,0.14,22,10,6.69
"{(population_density_on_land_2010 22.0),(household_density_on_land_2010 9.7)}",0.93,0.14,22,9.7,6.66
"{(population_density_on_land_2010 21.1),(household_density_on_land_2010 10.0)}",0.93,0.14,21.1,10,6.65
"{(population_density_on_land_2010 21.1),(household_density_on_land_2010 9.7)}",0.93,0.14,21.1,9.7,6.63
"{(population_density_on_land_2010 17.7),(household_density_on_land_2010 8.8)}",0.93,0.17,17.7,8.8,5.41
"{(population_density_on_land_2010 16.2),(household_density_on_land_2010 8.8)}",0.93,0.18,16.2,8.8,5.27
"{(population_density_on_land_2010 16.2),(household_density_on_land_2010 8.0)}",0.93,0.19,16.2,8,4.96
"{(population_density_on_land_2010 16.2),(household_density_on_land_2010 7.6)}",0.93,0.19,16.2,7.6,4.94
"{(population_density_on_land_2010 12.5),(household_density_on_land_2010 5.6)}",0.93,0.19,12.5,5.6,4.8
"{(population_density_on_land_2010 12.5),(household_density_on_land_2010 5.1)}",0.93,0.19,12.5,5.1,4.79
"{(population_density_on_land_2010 25.8),(household_density_on_land_2010 11.1)}",0.92,0.11,25.8,11.1,8.43
"{(population_density_on_land_2010 25.8),(household_density_on_land_2010 11.6)}",0.92,0.11,25.8,11.6,8.43
"{(population_density_on_land_2010 24.0),(household_density_on_land_2010 10.4)}",0.92,0.12,24,10.4,7.42
"{(population_density_on_land_2010 22.0),(household_density_on_land_2010 10.4)}",0.92,0.13,22,10.4,6.98
"{(population_density_on_land_2010 21.1),(household_density_on_land_2010 10.4)}",0.92,0.13,21.1,10.4,6.95
"{(population_density_on_land_2010 22.0),(household_density_on_land_2010 9.2)}",0.92,0.14,22,9.2,6.6
"{(population_density_on_land_2010 21.1),(household_density_on_land_2010 9.2)}",0.92,0.14,21.1,9.2,6.58
"{(population_density_on_land_2010 17.7),(household_density_on_land_2010 8.0)}",0.92,0.18,17.7,8,5.04
"{(population_density_on_land_2010 17.7),(household_density_on_land_2010 7.6)}",0.92,0.18,17.7,7.6,5.01
"{(population_density_on_land_2010 14.0),(household_density_on_land_2010 5.6)}",0.92,0.19,14,5.6,4.88
"{(population_density_on_land_2010 14.0),(household_density_on_land_2010 5.1)}",0.92,0.19,14,5.1,4.85
"{(population_density_on_land_2010 11.3),(household_density_on_land_2010 5.6)}",0.92,0.2,11.3,5.6,4.56
"{(population_density_on_land_2010 11.3),(household_density_on_land_2010 5.1)}",0.92,0.2,11.3,5.1,4.55
"{(population_density_on_land_2010 24.0),(household_density_on_land_2010 11.1)}",0.91,0.12,24,11.1,7.82
"{(population_density_on_land_2010 24.0),(household_density_on_land_2010 11.6)}",0.91,0.12,24,11.6,7.82
"{(population_density_on_land_2010 20.3),(household_density_on_land_2010 10.0)}",0.91,0.15,20.3,10,6.24
"{(population_density_on_land_2010 20.3),(household_density_on_land_2010 9.7)}",0.91,0.15,20.3,9.7,6.23
"{(population_density_on_land_2010 20.3),(household_density_on_land_2010 9.2)}",0.91,0.15,20.3,9.2,6.18
"{(population_density_on_land_2010 19.1),(household_density_on_land_2010 8.8)}",0.91,0.16,19.1,8.8,5.59
"{(population_density_on_land_2010 19.1),(household_density_on_land_2010 10.0)}",0.9,0.15,19.1,10,5.95
"{(population_density_on_land_2010 19.1),(household_density_on_land_2010 9.7)}",0.9,0.15,19.1,9.7,5.94
"{(population_density_on_land_2010 19.1),(household_density_on_land_2010 9.2)}",0.9,0.15,19.1,9.2,5.92
"{(population_density_on_land_2010 20.3),(household_density_on_land_2010 8.8)}",0.9,0.16,20.3,8.8,5.68
"{(population_density_on_land_2010 10.1),(household_density_on_land_2010 6.1)}",0.9,0.23,10.1,6.1,3.92
"{(population_density_on_land_2010 10.1),(household_density_on_land_2010 6.6)}",0.9,0.23,10.1,6.6,3.91
"{(population_density_on_land_2010 10.1),(household_density_on_land_2010 4.6)}",0.9,0.25,10.1,4.6,3.61
"{(population_density_on_land_2010 10.1),(household_density_on_land_2010 4.3)}",0.9,0.25,10.1,4.3,3.61
"{(population_density_on_land_2010 24.0),(household_density_on_land_2010 10.0)}",0.89,0.13,24,10,6.8
"{(population_density_on_land_2010 20.3),(household_density_on_land_2010 10.4)}",0.89,0.14,20.3,10.4,6.42
"{(population_density_on_land_2010 11.3),(household_density_on_land_2010 4.6)}",0.89,0.22,11.3,4.6,3.96
"{(population_density_on_land_2010 26.9),(household_density_on_land_2010 11.6)}",0.88,0.11,26.9,11.6,8.39
"{(population_density_on_land_2010 26.9),(household_density_on_land_2010 11.1)}",0.88,0.11,26.9,11.1,8.33
"{(population_density_on_land_2010 24.0),(household_density_on_land_2010 9.7)}",0.88,0.13,24,9.7,6.77
"{(population_density_on_land_2010 24.0),(household_density_on_land_2010 9.2)}",0.88,0.13,24,9.2,6.71
"{(population_density_on_land_2010 17.7),(household_density_on_land_2010 10.0)}",0.88,0.16,17.7,10,5.56
"{(population_density_on_land_2010 17.7),(household_density_on_land_2010 9.7)}",0.88,0.16,17.7,9.7,5.55
"{(population_density_on_land_2010 17.7),(household_density_on_land_2010 9.2)}",0.88,0.16,17.7,9.2,5.54
"{(population_density_on_land_2010 19.1),(household_density_on_land_2010 8.0)}",0.88,0.17,19.1,8,5.07
"{(population_density_on_land_2010 19.1),(household_density_on_land_2010 7.6)}",0.88,0.17,19.1,7.6,5.04
"{(population_density_on_land_2010 16.2),(household_density_on_land_2010 6.6)}",0.88,0.2,16.2,6.6,4.51
"{(population_density_on_land_2010 16.2),(household_density_on_land_2010 6.1)}",0.88,0.2,16.2,6.1,4.49
