pattern,Pearson correlations,Bivariate Moran I,max_agreement,max_agreement_expected,threhsold1_max_agreement,threhsold2_max_agreement,threhsold1_max_agreement_area_coverage,threhsold2_max_agreement_area_coverage,lift_maxima,AUC_Agreement,AUC_Agreement_expected,CVT_correlation_maxima,CVT_correlation_maxima_t1,CVT_correlation_maxima_t2,CVT_correlation_value_coverage_maxima,CVT_correlation_AUC,ranks_corr,ranks_moran,ranks_maxima,ranks_AUC,ranks_maxima_corr,ranks_AUC_corr
population_density_on_land_2010_household_density_on_land_2010,0.988860872,0.622950108,1,0.000840542,267,111,0.028992106,0.028992106,1189.708215,0.382028231,0.01614731,0.988748861,34,21.3,0.498229804,0.988451161,190,190,190,190,190,190
PctEmpMining_covid_cases_density,0.05891578,0.034488712,0.174075338,0.094436815,2,0.224519137,0.196376065,0.480897786,1.843299553,0.043105583,0.012972512,0.732260609,6,0.310303987,0.010299324,0.366450794,130,121,11,51,189,184
covid_death_density_population_density_on_land_2010,-0.131303138,-0.106491459,0.390918669,0.249523488,0.002874389,10.1,0.499689882,0.499356694,1.566660807,0.037318578,0.024347538,0.692561855,0.005094216,289.8,0.010299324,0.04029367,49,38,107,39,188,116
PctEmpInformation_household_density_on_land_2010,0.19608776,0.123710901,0.370192988,0.218674477,1,4.3,0.437867185,0.499408232,1.69289527,0.097207577,0.020975913,0.678799956,3,97,0.014161571,0.472710557,164,151,94,134,187,188
PctEmpTrade_covid_cases_density,0.123423236,0.024227435,0.400655891,0.252158359,12,0.222850507,0.50500422,0.499319309,1.58890585,0.106791059,0.040192055,0.678121429,17,0.284221208,0.010943032,0.409110134,147,116,112,151,186,185
PctEmpInformation_population_density_on_land_2010,0.202712493,0.140034265,0.347504584,0.21865191,1,10.1,0.437867185,0.499356694,1.589305048,0.096800494,0.019628994,0.66743496,3,274,0.014161571,0.465851861,165,160,76,132,185,187
bachelor_degree_density_2014_2018_medianHouseHoldIncome,0.719251591,0.464703596,0.540590209,0.258801842,16,44500,0.517705507,0.499901659,2.088819013,0.183474819,0.03047205,0.663768483,16,51276,0.296749276,0.572802104,189,189,180,188,184,189
PctEmpFIRE_PctEmpMining,-0.160802255,-0.125800051,0.141726111,0.118428667,3,2,0.603070783,0.196376065,1.196721325,0.015108167,0.013444448,0.605699073,4,12,0.012552301,0.269378945,37,30,8,9,183,180
covid_death_density_household_density_on_land_2010,-0.120152703,-0.098566274,0.371372005,0.249549241,0.002874389,4.3,0.499689882,0.499408232,1.488171249,0.039967138,0.026018238,0.591969532,0.005126418,78.2,0.011908593,0.054879724,53,43,95,42,182,125
PctEmpServices_bachelor_degree_density_2014_2018,0.588769859,0.231969806,0.42110093,0.256973266,39,16,0.496369581,0.517705507,1.638695485,0.172042996,0.025560402,0.587530177,39,16,0.468619247,0.421470567,188,180,124,186,181,186
avg_temp_for_county_PctEmpAgriculture,-0.273816822,-0.256577184,0.210776409,0.240119142,50,2,0.494890161,0.48519684,0.877799276,0.022726303,0.028148125,0.583917772,61,3,0.012230447,0.074388677,16,9,21,19,180,135
PctEmpConstruction_population_density_on_land_2010,-0.108243723,-0.054309319,0.425291587,0.360506425,5,10.1,0.721941708,0.499356694,1.179705984,0.041554383,0.029853309,0.582335632,8,221,0.010943032,0.081568141,57,61,128,44,179,138
PctEmpTrade_PctEmpMining,-0.120808943,-0.09773269,0.120337749,0.099170741,12,2,0.50500422,0.196376065,1.213440051,0.025153394,0.012436694,0.571681118,13,17,0.010299324,0.320989814,52,44,5,23,178,183
PctEmpFIRE_covid_cases_density,-0.005915096,-0.048748171,0.438446421,0.301124887,3,0.222850507,0.603070783,0.499319309,1.456028514,0.0945305,0.043448844,0.561573658,6,0.286492361,0.011264886,0.148751774,102,64,143,131,177,161
covid_cases_density_household_density_on_land_2010,-0.14304034,-0.117846167,0.434985363,0.249364174,0.222850507,4.3,0.499319309,0.499408232,1.744377938,0.07311923,0.026896215,0.561113361,0.308926554,102,0.010621178,0.020651463,45,33,139,94,176,96
