I,t1,t2
0.443242198,0.21,40000
0.435642534,0.21,41024.344
0.435869124,0.21,41027.08
0.435869124,0.21,41029.816
0.435869124,0.21,41032.552
0.318549548,0.217695184,47278.448
0.317535864,0.217695184,47281.184
0.156382789,0.217695184,55683.808
0.156382789,0.217695184,55686.544
0.156382789,0.217695184,55689.28
0.156382789,0.217695184,55692.016
0.156382789,0.217695184,55694.752
0.156382789,0.217695184,55697.488
0.156382789,0.217695184,55700.224
0.014446904,0.21,74545.952
0.014446904,0.21,74548.688
0.014446904,0.21,74551.424
0.004188751,0.21,82386.488
0.003252684,0.21,85227.024
0.003252684,0.21,86364.88
0.002244302,0.21,89659.464
0.41972065,0.222457225,40000
0.412767368,0.222457225,41024.344
0.412995694,0.222457225,41027.08
0.412995694,0.222457225,41029.816
0.3072275,0.222457225,47275.712
0.3072275,0.222457225,47278.448
0.306179724,0.222457225,47281.184
0.306179724,0.222457225,47283.92
0.306179724,0.222457225,47286.656
0.306254276,0.222457225,47289.392
0.306340584,0.222457225,47292.128
0.306340584,0.222457225,47294.864
0.306340584,0.222457225,47297.6
0.305814624,0.222457225,47300.336
0.014645636,0.230152408,74545.952
0.014645636,0.230152408,74548.688
0.014645636,0.230152408,74551.424
0.004761201,0.235282531,82386.488
0.003838963,0.248107837,85227.024
0.003844262,0.248107837,87500
0.274036938,0.386621142,89659.464
0.426714977,0.222089143,40000
0.419095848,0.222089143,41024.344
0.419323791,0.222089143,41027.08
0.419323791,0.222089143,41029.816
0.304729436,0.222089143,47275.712
0.304729436,0.222089143,47278.448
0.122764482,0.256717469,55000
0.119744248,0.256717469,55910.832
0.119744248,0.256717469,55913.568
0.119744248,0.256717469,55916.304
0.119744248,0.256717469,55919.04
0.119744248,0.256717469,55921.776
0.119744248,0.256717469,55924.512
0.119744248,0.256717469,55927.248
0.017012459,0.258,75000
0.040254171,0.320843999,82267.504
0.041039112,0.320843999,82837.8
0.04130106,0.320843999,83067.56
0.181974154,0.38625306,85227.024
0.257493411,0.38625306,87954.048
0.295199704,0.38625306,90000
0.428283863,0.221721062,40000
0.42069143,0.221721062,41024.344
0.420919373,0.221721062,41027.08
0.420919373,0.221721062,41029.816
0.306346775,0.221721062,47275.712
0.306346775,0.221721062,47278.448
0.112245383,0.257631919,55681.072
0.11170494,0.257631919,55910.832
0.116583759,0.256349388,55913.568
0.116583759,0.256349388,55916.304
0.042785365,0.284565061,64205.416
0.045012743,0.294825306,67840.536
0.048462354,0.294825306,68864.88
0.047457524,0.296107837,69094.64
0.01639323,0.284565061,75000
0.039380048,0.320475918,82267.504
0.04013095,0.320475918,82837.8
0.040381397,0.320475918,83067.56
0.181974154,0.385884979,85227.024
0.257493411,0.385884979,87954.048
0.295199704,0.385884979,90000
0.419992361,0.222635511,40000
0.413039285,0.222635511,41024.344
0.413267762,0.222635511,41027.08
0.413267762,0.222635511,41029.816
0.307472271,0.222635511,47275.712
0.307472271,0.222635511,47278.448
0.099451556,0.276501796,56362.144
0.099376637,0.276501796,57159.464
0.047014955,0.306,60000
0.046761885,0.306,62500
0.061054945,0.291892163,62162.2
0.043349506,0.306,67840.536
0.04765443,0.306,68864.88
0.033311907,0.306,72159.464
0.152593228,0.386799428,83399.888
0.046631508,0.32652049,82267.504
0.038650533,0.320107837,82270.24
0.039373618,0.320107837,82954.048
0.181974154,0.386799428,85227.024
0.257493411,0.386799428,87954.048
0.295199704,0.386799428,90000
0.427184413,0.22226743,40000
0.419564756,0.22226743,41024.344
0.419792954,0.22226743,41027.08
0.305138421,0.22226743,47272.976
0.305138421,0.22226743,47275.712
0.305138421,0.22226743,47278.448
0.099060327,0.276133715,56929.704
0.056512007,0.305631919,57500
0.049044995,0.305631919,60340.536
0.047499683,0.305631919,62840.536
0.020802843,0.326152408,64659.464
0.027403311,0.327434939,68975.656
0.029082441,0.327434939,70000
0.152593228,0.386431346,83397.152
0.152593228,0.386431346,83399.888
0.152593228,0.386431346,83402.624
0.152593228,0.386431346,83405.36
0.152593228,0.386431346,83408.096
0.181974154,0.386431346,85227.024
0.257493411,0.386431346,87954.048
0.295199704,0.386431346,90000
0.428079126,0.221899348,40000
0.42048321,0.221899348,41024.344
0.420711152,0.221899348,41027.08
0.306097116,0.221899348,47272.976
0.306097116,0.221899348,47275.712
0.103428917,0.275765633,56359.408
0.102868966,0.275765633,56929.704
0.01726438,0.346304816,57727.024
0.014716959,0.351434939,62156.728
0.015975142,0.357847592,62840.536
0.016837981,0.357847592,65000
0.027609121,0.357847592,68975.656
0.152593228,0.386063265,83394.416
0.152593228,0.386063265,83397.152
0.152593228,0.386063265,83399.888
0.152593228,0.386063265,83402.624
0.152593228,0.386063265,83405.36
0.152593228,0.386063265,83408.096
0.181974154,0.386063265,85227.024
0.257493411,0.386063265,87954.048
0.295199704,0.386063265,90000
0.406371917,0.222813797,41021.608
0.406371917,0.222813797,41024.344
0.299477424,0.222813797,47270.24
0.299477424,0.222813797,47272.976
0.123081166,0.257442124,55562.088
0.121460967,0.257442124,55905.36
0.01726438,0.345936735,57724.288
0.019198927,0.345936735,58748.632
0.015148449,0.362609633,62156.728
0.016855978,0.362609633,63067.56
0.017577512,0.369022286,65000
0.029654897,0.369022286,68975.656
0.152593228,0.385695184,83394.416
0.152593228,0.385695184,83397.152
0.152593228,0.385695184,83399.888
0.152593228,0.385695184,83402.624
0.152593228,0.385695184,83405.36
0.152593228,0.385695184,83408.096
0.181974154,0.385695184,85227.024
0.257493411,0.385695184,87954.048
0.295199704,0.385695184,90000
0.001932511,0.402,46129.648
0.001932511,0.402,46132.384
0.001932511,0.402,46135.12
0.01354416,0.402,64072.752
0.01354416,0.402,64075.488
0.01354416,0.402,64078.224
0.01354416,0.402,64080.96
0.01354416,0.402,64083.696
0.01354416,0.402,64086.432
0.01354416,0.402,64089.168
0.014527512,0.402,65000
0.152593228,0.402,83391.68
0.152593228,0.402,83394.416
0.152593228,0.402,83397.152
0.152593228,0.402,83399.888
0.152593228,0.402,83402.624
0.152593228,0.402,83405.36
0.152593228,0.402,83408.096
0.181974154,0.402,85227.024
0.257493411,0.402,87954.048
0.295199704,0.402,90000
0.001932511,0.426,46129.648
0.001932511,0.426,46132.384
0.001932511,0.426,46135.12
0.01354416,0.426,64072.752
0.01354416,0.426,64075.488
0.01354416,0.426,64078.224
0.01354416,0.426,64080.96
0.01354416,0.426,64083.696
0.01354416,0.426,64086.432
0.01354416,0.426,64089.168
0.014527512,0.426,65000
0.152593228,0.426,83391.68
0.152593228,0.426,83394.416
0.152593228,0.426,83397.152
0.152593228,0.426,83399.888
0.152593228,0.426,83402.624
0.152593228,0.426,83405.36
0.152593228,0.426,83408.096
0.181974154,0.426,85227.024
0.257493411,0.426,87954.048
0.295199704,0.426,90000
